Czas_s,Uchyb_X_px,Uchyb_Y_px,Regulator,Deadband_Stat,Pole_Obiektu
11.407,178,15,PID,40,189.5
11.427,178,15,PID,40,189.5
11.447,178,15,PID,40,214.0
11.467,179,16,PID,40,210.0
11.489,180,19,PID,40,213.5
11.509,180,19,PID,40,213.5
11.530,180,20,PID,40,222.5
11.551,180,20,PID,40,222.5
11.576,180,21,PID,40,233.0
11.596,177,23,PID,40,236.5
11.617,177,23,PID,40,236.5
11.636,175,25,PID,40,246.0
11.657,173,27,PID,40,291.0
11.679,173,27,PID,40,291.0
11.699,170,28,PID,40,296.5
11.721,163,29,PID,40,299.5
11.742,163,29,PID,40,299.5
11.763,159,28,PID,40,292.0
11.785,159,28,PID,40,292.0
11.806,152,29,PID,40,295.0
11.825,147,28,PID,40,290.0
11.847,147,28,PID,40,290.0
11.867,141,27,PID,40,284.0
11.896,133,26,PID,40,261.0
11.917,133,26,PID,40,261.0
11.937,128,24,PID,40,253.5
11.959,119,22,PID,40,252.5
11.980,119,22,PID,40,252.5
12.000,113,20,PID,40,223.0
12.022,105,17,PID,40,211.0
12.043,105,17,PID,40,211.0
12.064,97,15,PID,40,212.5
12.086,97,15,PID,40,212.5
12.108,86,13,PID,40,210.0
12.129,77,11,PID,40,209.0
12.152,67,8,PID,40,211.5
12.173,67,8,PID,40,211.5
12.193,57,7,PID,40,201.5
12.215,57,7,PID,40,201.5
12.240,48,5,PID,40,199.0
12.260,37,3,PID,40,200.0
12.282,37,3,PID,40,200.0
12.302,27,2,PID,40,191.0
12.322,18,2,PID,40,187.0
12.343,18,2,PID,40,187.0
12.363,9,1,PID,40,191.5
12.385,9,1,PID,40,191.5
12.406,6,1,PID,40,190.0
12.426,3,2,PID,40,189.5
12.447,3,2,PID,40,189.5
12.467,1,1,PID,40,193.0
12.488,-1,2,PID,40,188.0
12.509,-1,2,PID,40,188.0
12.529,-3,3,PID,40,189.5
12.551,-3,3,PID,40,189.5
12.573,-4,2,PID,40,190.5
12.593,-5,2,PID,40,183.5
12.613,-5,2,PID,40,183.5
12.634,-5,2,PID,40,194.0
12.655,-5,1,PID,40,187.0
12.677,-5,1,PID,40,187.0
12.697,-5,0,PID,40,180.5
12.718,-5,0,PID,40,180.5
12.738,-5,0,PID,40,183.0
12.759,-4,-1,PID,40,181.5
12.781,-4,-1,PID,40,181.5
12.801,-4,-1,PID,40,177.0
12.822,-4,-2,PID,40,175.0
12.843,-4,-2,PID,40,175.0
12.863,-3,-3,PID,40,167.0
12.884,-3,-3,PID,40,167.0
12.908,-2,-4,PID,40,163.5
12.927,-1,-6,PID,40,167.0
12.948,-1,-6,PID,40,167.0
12.968,0,-7,PID,40,164.5
12.988,2,-8,PID,40,167.0
13.008,2,-8,PID,40,167.0
13.028,2,-10,PID,40,150.5
13.050,2,-10,PID,40,150.5
13.071,3,-11,PID,40,164.0
13.091,4,-12,PID,40,168.0
13.111,4,-12,PID,40,168.0
13.132,4,-13,PID,40,168.5
13.153,4,-13,PID,40,168.5
13.174,5,-14,PID,40,173.0
13.195,4,-15,PID,40,176.5
13.221,4,-15,PID,40,176.5
13.243,4,-15,PID,40,181.5
13.263,3,-16,PID,40,193.0
13.283,3,-16,PID,40,193.0
13.304,2,-16,PID,40,197.5
13.324,0,-17,PID,40,198.5
13.344,0,-17,PID,40,198.5
13.364,-3,-17,PID,40,218.5
13.386,-3,-17,PID,40,218.5
13.407,-5,-18,PID,40,219.5
13.427,-9,-18,PID,40,245.0
13.449,-9,-18,PID,40,245.0
13.468,-13,-18,PID,40,270.0
13.488,-17,-19,PID,40,271.5
13.509,-17,-19,PID,40,271.5
13.529,-22,-21,PID,40,277.0
13.557,-22,-21,PID,40,277.0
13.579,-27,-22,PID,40,276.0
13.599,-33,-22,PID,40,301.0
13.621,-33,-22,PID,40,301.0
13.642,-39,-24,PID,40,291.5
13.662,-46,-26,PID,40,307.0
13.685,-46,-26,PID,40,307.0
13.706,-53,-27,PID,40,328.5
13.726,-60,-29,PID,40,314.5
13.748,-60,-29,PID,40,314.5
13.768,-68,-31,PID,40,326.5
13.788,-69,-33,PID,40,312.0
13.810,-69,-33,PID,40,312.0
13.831,-73,-35,PID,40,320.0
13.852,-73,-35,PID,40,320.0
13.873,-72,-38,PID,40,313.5
13.899,-74,-40,PID,40,347.0
13.920,-74,-40,PID,40,347.0
13.941,-76,-43,PID,40,323.0
13.962,-77,-45,PID,40,341.0
13.984,-77,-45,PID,40,341.0
14.006,-81,-46,PID,40,342.0
14.026,-86,-41,PID,40,413.5
14.048,-86,-41,PID,40,413.5
14.068,-89,-36,PID,40,373.5
14.090,-91,-36,PID,40,366.0
14.111,-91,-36,PID,40,366.0
14.130,-94,-32,PID,40,344.5
14.154,-97,-20,PID,40,292.5
14.175,-97,-20,PID,40,292.5
14.195,-100,-15,PID,40,334.0
14.222,-100,-15,PID,40,334.0
14.244,-103,-20,PID,40,325.5
14.264,-106,-27,PID,40,314.5
14.286,-110,-26,PID,40,329.0
14.307,-110,-26,PID,40,329.0
14.327,-113,-26,PID,40,343.5
14.349,-113,-26,PID,40,343.5
14.369,-115,-30,PID,40,343.5
14.388,-117,-31,PID,40,296.5
14.410,-117,-31,PID,40,296.5
14.430,-121,-29,PID,40,298.0
14.451,-127,-31,PID,40,269.0
14.472,-127,-31,PID,40,269.0
14.492,-128,-31,PID,40,270.5
14.514,-128,-31,PID,40,270.5
14.534,-133,-30,PID,40,271.0
14.560,-135,-31,PID,40,278.0
14.581,-135,-31,PID,40,278.0
14.601,-138,-31,PID,40,278.5
14.622,-138,-30,PID,40,251.5
14.644,-138,-30,PID,40,251.5
14.664,-144,-31,PID,40,252.5
14.685,-144,-31,PID,40,252.5
14.705,-145,-31,PID,40,251.0
14.725,-148,-29,PID,40,280.0
14.748,-148,-29,PID,40,280.0
14.768,-151,-30,PID,40,302.0
14.788,-152,-31,PID,40,312.5
14.809,-152,-31,PID,40,312.5
14.829,-156,-30,PID,40,324.5
14.851,-156,-30,PID,40,324.5
14.871,-155,-31,PID,40,323.0
14.896,-156,-33,PID,40,337.5
14.918,-156,-33,PID,40,337.5
14.939,-156,-34,PID,40,330.0
14.959,-158,-35,PID,40,333.0
14.982,-158,-35,PID,40,333.0
15.002,-159,-37,PID,40,328.0
15.022,-162,-38,PID,40,332.0
15.043,-162,-38,PID,40,332.0
15.064,-163,-38,PID,40,338.0
15.085,-163,-38,PID,40,338.0
15.106,-166,-39,PID,40,346.0
15.126,-170,-41,PID,40,370.5
15.149,-170,-41,PID,40,370.5
15.169,-173,-41,PID,40,365.5
15.189,-176,-42,PID,40,382.0
15.211,-176,-42,PID,40,382.0
15.238,-179,-42,PID,40,373.5
15.259,-180,-36,PID,40,391.0
15.281,-180,-36,PID,40,391.0
15.301,-183,-35,PID,40,390.5
15.321,-189,-35,PID,40,394.5
15.342,-189,-35,PID,40,394.5
15.363,-193,-25,PID,40,372.0
15.387,-200,-20,PID,40,375.0
15.408,-200,-20,PID,40,375.0
15.429,-201,-25,PID,40,457.0
15.453,-207,-32,PID,40,419.0
15.475,-207,-32,PID,40,419.0
15.495,-210,-29,PID,40,442.5
15.518,-210,-29,PID,40,442.5
15.540,-216,-30,PID,40,408.5
15.566,-223,-35,PID,40,396.0
15.588,-225,-37,PID,40,445.5
15.610,-225,-37,PID,40,445.5
15.631,-232,-36,PID,40,488.5
15.653,-232,-36,PID,40,488.5
15.675,-235,-40,PID,40,394.5
15.696,-242,-43,PID,40,428.0
15.719,-242,-42,PID,45,585.5
15.741,-242,-42,PID,45,585.5
15.763,-249,-39,PID,45,823.5
15.785,-249,-39,PID,45,823.5
15.806,-256,-44,PID,40,472.0
15.827,-268,-32,PID,45,552.5
15.849,-268,-32,PID,45,552.5
15.869,-262,-35,PID,45,673.0
15.893,-259,-38,PID,45,743.0
15.916,-259,-38,PID,45,743.0
15.937,-264,-39,PID,45,655.5
15.957,-266,-32,PID,40,412.5
15.977,-266,-32,PID,40,412.5
15.998,-262,-34,PID,40,432.0
16.019,-262,-34,PID,40,432.0
16.040,-260,-44,PID,40,374.0
16.064,-256,-43,PID,40,437.5
16.085,-256,-43,PID,40,437.5
16.106,-259,-44,PID,45,576.5
