Czas_s,Uchyb_X_px,Uchyb_Y_px,Kp_Pan,Kd_Pan,Kp_Tilt,Kd_Tilt
9.146,56,-42,0.01,0.001,0.01,0.001
9.167,41,-42,0.01,0.001,0.01,0.001
9.188,33,-43,0.01,0.001,0.01,0.001
9.210,7,-38,0.01,0.001,0.01,0.001
9.232,-17,-34,0.01,0.001,0.01,0.001
9.255,-25,-34,0.01,0.001,0.01,0.001
9.277,-45,-31,0.01,0.001,0.01,0.001
9.300,-77,-33,0.01,0.001,0.01,0.001
9.322,-96,-38,0.01,0.001,0.01,0.001
9.343,-139,-33,0.01,0.001,0.01,0.001
9.364,-147,-21,0.01,0.001,0.01,0.001
9.385,-147,-8,0.01,0.001,0.01,0.001
9.410,-143,10,0.01,0.001,0.01,0.001
9.433,-139,30,0.01,0.001,0.01,0.001
9.455,-136,44,0.01,0.001,0.01,0.001
9.475,-124,62,0.01,0.001,0.01,0.001
9.499,-84,104,0.01,0.001,0.01,0.001
9.522,-58,130,0.01,0.001,0.01,0.001
9.543,-18,155,0.01,0.001,0.01,0.001
9.566,24,163,0.01,0.001,0.01,0.001
9.589,48,161,0.01,0.001,0.01,0.001
9.609,77,159,0.01,0.001,0.01,0.001
9.631,93,159,0.01,0.001,0.01,0.001
9.653,111,155,0.01,0.001,0.01,0.001
9.674,129,149,0.01,0.001,0.01,0.001
9.702,141,144,0.01,0.001,0.01,0.001
9.724,142,142,0.01,0.001,0.01,0.001
9.747,136,139,0.01,0.001,0.01,0.001
9.768,119,134,0.01,0.001,0.01,0.001
9.791,116,131,0.01,0.001,0.01,0.001
9.813,96,122,0.01,0.001,0.01,0.001
9.834,65,108,0.01,0.001,0.01,0.001
9.857,57,103,0.01,0.001,0.01,0.001
9.877,27,93,0.01,0.001,0.01,0.001
9.898,-14,76,0.01,0.001,0.01,0.001
9.920,-28,58,0.01,0.001,0.01,0.001
9.942,-59,40,0.01,0.001,0.01,0.001
9.964,-70,28,0.01,0.001,0.01,0.001
9.987,-99,15,0.01,0.001,0.01,0.001
10.008,-131,0,0.01,0.001,0.01,0.001
10.031,-163,-16,0.01,0.001,0.01,0.001
10.052,-174,-27,0.01,0.001,0.01,0.001
10.081,-191,-41,0.01,0.001,0.01,0.001
10.106,-197,-59,0.01,0.001,0.01,0.001
10.130,-198,-70,0.01,0.001,0.01,0.001
10.162,-190,-82,0.01,0.001,0.01,0.001
10.185,-175,-91,0.01,0.001,0.01,0.001
10.208,-170,-98,0.01,0.001,0.01,0.001
10.230,-152,-102,0.01,0.001,0.01,0.001
10.252,-144,-106,0.01,0.001,0.01,0.001
10.274,-133,-109,0.01,0.001,0.01,0.001
10.298,-157,-110,0.01,0.001,0.01,0.001
10.319,-167,-113,0.01,0.001,0.01,0.001
10.341,-158,-117,0.01,0.001,0.01,0.001
10.364,-138,-118,0.01,0.001,0.01,0.001
10.386,-128,-119,0.01,0.001,0.01,0.001
10.411,-110,-118,0.01,0.001,0.01,0.001
10.435,-95,-115,0.01,0.001,0.01,0.001
10.457,-88,-112,0.01,0.001,0.01,0.001
10.477,-82,-110,0.01,0.001,0.01,0.001
10.500,-75,-104,0.01,0.001,0.01,0.001
10.524,-74,-100,0.01,0.001,0.01,0.001
10.545,-71,-92,0.01,0.001,0.01,0.001
10.566,-76,-77,0.01,0.001,0.01,0.001
10.589,-81,-71,0.01,0.001,0.01,0.001
10.610,-89,-56,0.01,0.001,0.01,0.001
10.633,-88,-34,0.01,0.001,0.01,0.001
10.655,-93,-22,0.01,0.001,0.01,0.001
10.676,-99,9,0.01,0.001,0.01,0.001
10.699,-103,66,0.01,0.001,0.01,0.001
10.721,-74,111,0.01,0.001,0.01,0.001
10.748,-46,146,0.01,0.001,0.01,0.001
10.769,-23,169,0.01,0.001,0.01,0.001
10.790,-10,170,0.01,0.001,0.01,0.001
10.811,4,172,0.01,0.001,0.01,0.001
10.831,16,173,0.01,0.001,0.01,0.001
10.854,22,173,0.01,0.001,0.01,0.001
10.875,31,171,0.01,0.001,0.01,0.001
10.897,34,171,0.01,0.001,0.01,0.001
10.919,44,168,0.01,0.001,0.01,0.001
10.941,46,168,0.01,0.001,0.01,0.001
10.964,45,166,0.01,0.001,0.01,0.001
10.986,45,166,0.01,0.001,0.01,0.001
11.007,32,165,0.01,0.001,0.01,0.001
11.029,7,162,0.01,0.001,0.01,0.001
11.051,-7,161,0.01,0.001,0.01,0.001
11.077,-39,157,0.01,0.001,0.01,0.001
11.098,-74,150,0.01,0.001,0.01,0.001
11.120,-86,147,0.01,0.001,0.01,0.001
11.142,-111,141,0.01,0.001,0.01,0.001
11.164,-140,131,0.01,0.001,0.01,0.001
11.187,-139,124,0.01,0.001,0.01,0.001
11.209,-148,111,0.01,0.001,0.01,0.001
11.230,-146,103,0.01,0.001,0.01,0.001
11.252,-147,89,0.01,0.001,0.01,0.001
11.274,-140,72,0.01,0.001,0.01,0.001
11.296,-139,62,0.01,0.001,0.01,0.001
11.319,-120,47,0.01,0.001,0.01,0.001
11.341,-107,27,0.01,0.001,0.01,0.001
11.362,-105,15,0.01,0.001,0.01,0.001
11.384,-92,-2,0.01,0.001,0.01,0.001
11.410,-71,-22,0.01,0.001,0.01,0.001
11.434,-55,-41,0.01,0.001,0.01,0.001
11.455,-52,-53,0.01,0.001,0.01,0.001
11.476,-29,-65,0.01,0.001,0.01,0.001
11.497,-25,-73,0.01,0.001,0.01,0.001
11.518,3,-75,0.01,0.001,0.01,0.001
11.540,24,-77,0.01,0.001,0.01,0.001
11.564,57,-74,0.01,0.001,0.01,0.001
11.587,57,-73,0.01,0.001,0.01,0.001
